Portfolio Title,Shot URL
Concept KV for Meama,https://cdn.dribbble.com/userupload/5819624/file/original-4767976f595115e77a9721eec58c8521.png
TS,https://cdn.dribbble.com/userupload/5815040/file/original-7bcef19ec5fa3983202ee3cc627d9a7b.jpg
Microglass A1,https://cdn.dribbble.com/userupload/5836250/file/original-c0c3733b2879b9cd465535ab0370b22e.png
Character Illustration,https://cdn.dribbble.com/userupload/5785040/file/original-a7546336a8f8c3d69e3bfa5c97cd38d4.jpg
99%,https://cdn.dribbble.com/userupload/5610939/file/original-16a28f829855da5e9683e47e5cb724a7.png
POLICE Station,https://cdn.dribbble.com/userupload/5575635/file/original-cd44b9efecd341118828d04da9c64243.png
Random office stuff,https://cdn.dribbble.com/userupload/5589061/file/original-802ad847a6a4fe8d86af84bb89d735be.png
Cloth polka dots,https://cdn.dribbble.com/userupload/5561745/file/original-e5559683fada3317eb9f910cf992d508.png
TikTok 3D illustration,https://cdn.dribbble.com/userupload/5571094/file/original-928504f75da39952f976d0339710e2e7.webp
Hellorep.ai onboarding experience,https://cdn.dribbble.com/userupload/5973344/file/still-0f857faf288c9815f8b747493a286adb.png
Online interview,https://cdn.dribbble.com/userupload/5955411/file/original-49aaa56c16c3bdefc5e2e7fa453f8df4.png
Workflow Builder,https://cdn.dribbble.com/userupload/5926987/file/original-10185961ca5aa5368ed260af59e03db9.png
Paysphere - Landing Page (dark),https://cdn.dribbble.com/userupload/5926989/file/original-a1691932c35de19a98669fd449461392.png
Swapilio,https://cdn.dribbble.com/userupload/5920642/file/original-dd274a745b60e3e682becb2fed6219b5.png
Movie Stream ( Dashboard  Media  ) - UXUI,https://cdn.dribbble.com/userupload/5919109/file/original-4211d5e9e9cd11f361534562bae23b98.png
Pupil App,https://cdn.dribbble.com/userupload/5918614/file/original-381169cc4d344aada2da7a9e55335852.png
Fitness Web System Dashboard,https://cdn.dribbble.com/userupload/5917421/file/original-9496118d005b83197fe6ce5c194afe97.png
Chat - Message Dashboard,https://cdn.dribbble.com/userupload/5906457/file/original-89893b9a1b7e8c92ddd58edb3232e035.png
Crypto Transactions purchase case - Ux/ui,https://cdn.dribbble.com/userupload/5904646/file/original-a6a98ca6a8acb44ee3f18d86f9ab8327.png
"E commerce minimal Product page 
for kids - ux/ui",https://cdn.dribbble.com/userupload/5904540/file/original-5b94aa9b847ba51d5efb77abfba73b67.png
"Analytics Dashboard, Add Keywords",https://cdn.dribbble.com/userupload/5901396/file/original-c7ad53b7ad438bc96d8a0f41b582ceea.png
Paysphere - Landing Page,https://cdn.dribbble.com/userupload/5892225/file/original-1c29d74018f6dda80000100998e5ff0f.png
Decorative Plants,https://cdn.dribbble.com/userupload/5893324/file/original-b49cadc50d84c2e9e9daf006485ddbe5.png
Cryptocurrency exchange multi trading platfrom ux/ui,https://cdn.dribbble.com/userupload/5880352/file/original-7e647188ab77c2974b419b09a784f715.png
Live Stream - Video App UX/UI,https://cdn.dribbble.com/userupload/5853795/file/original-010e38dc1bf8959204e1eae607e731a1.png
Shoes App UI,https://cdn.dribbble.com/userupload/5827692/file/original-76eea1569af5ade7466651931b6aca60.webp
E commerce - product page - UX/UI,https://cdn.dribbble.com/userupload/5824970/file/original-a6cfec61fe81fd4f4db88b6ac8ca7faf.png
Cesca Chair - Furniture Landing Page,https://cdn.dribbble.com/userupload/5810726/file/original-86f56afc3e80a8494111b9e06b694edd.png
Subscription Plan Details,https://cdn.dribbble.com/userupload/5649897/file/still-b34ef3cc12339a13ffcb69f198f0b39c.png
Gentle Fragrance,https://cdn.dribbble.com/userupload/5647707/file/original-6cf177fd42d9d7580e9112c705682d43.png
404 Error Page,https://cdn.dribbble.com/userupload/5611549/file/original-afc04d9234896366bac0a4bc51cced69.jpg
Countdown Timer Web & Mobile App,https://cdn.dribbble.com/userupload/5612823/file/still-00f04286c06c21b5493f0a604f8ee704.png
E - COMMERCE  Minimal Product Page - UX/UI,https://cdn.dribbble.com/userupload/5588574/file/original-3244bae5f88e51393e00e4dcee11a063.png
Logo For a Medical Centre,https://cdn.dribbble.com/userupload/5973821/file/original-6c755a75330c212b46a29793dfe0ec7b.png
1 k followers,https://cdn.dribbble.com/userupload/5969320/file/original-51262f569117674cf8b904cb44d35e3a.jpg
Simple Abstract Logo,https://cdn.dribbble.com/userupload/5964008/file/original-70092088f41c2c6ab1817e5596464ffa.png
"abstract R, abstract logo, logo, symbol, logo mark",https://cdn.dribbble.com/userupload/5955526/file/original-dd421ebef5892b6d2afe7f463444b1d1.jpg
swoosh,https://cdn.dribbble.com/userupload/5941657/file/original-a978467142a7164a16ea08044fcac152.jpg
Letter W Logo Mark,https://cdn.dribbble.com/userupload/5940886/file/original-bb679feb953337360ba477c792813336.png
Zero with L,https://cdn.dribbble.com/userupload/5933209/file/original-95c4ccad2ba31c96307e91ccfe1a7cee.jpg
Triangle,https://cdn.dribbble.com/userupload/5904210/file/original-53c95aa1a0af8b18b6d0fe726ce46945.jpg
Abstract logo,https://cdn.dribbble.com/userupload/5917492/file/original-4ef10b07a282afdd4055bf896505caf5.jpg
Toy Car,https://cdn.dribbble.com/userupload/5915628/file/original-c022a8d036cf76dbbb8969fb4c171fea.png
dp anagram,https://cdn.dribbble.com/userupload/5880918/file/original-f9263c7244d51880008cd3a0a8e50310.jpg
Swan abstract logo mark,https://cdn.dribbble.com/userupload/5893219/file/original-0505b54dbced00ee9f34202f07ad4a11.jpg
Arrow (Negative space logo),https://cdn.dribbble.com/userupload/5893624/file/original-fe751d0730f6549088162464f51882b7.png
Triangle of triad,https://cdn.dribbble.com/userupload/5898374/file/original-0660775e0eb3094c8d583e7c74a34e48.jpg
"Logo, Branding, Mark, Symbol, Modern, lettermark, Logos",https://cdn.dribbble.com/userupload/5871321/file/original-fad6ccf63b82d2070f9f05429c305657.jpg
Abstract X logo mark,https://cdn.dribbble.com/userupload/5871433/file/original-989e28b3f35795514b199d7ec72558f0.jpg
dh anagram,https://cdn.dribbble.com/userupload/5855492/file/original-b349635b436f6c0e36bb444424399dcd.jpg
ITALIA,https://cdn.dribbble.com/userupload/5814705/file/original-555e6402aa1aad9c83996aeab01d8549.png
Abstract Heart,https://cdn.dribbble.com/userupload/5812148/file/original-68b7760143a444155c7f08423e3a8987.jpg
Abstract Pencil,https://cdn.dribbble.com/userupload/5762950/file/original-6739a32fe4fe0f541aef18f4d3003ef3.jpg
"Logo, branding, brand identity",https://cdn.dribbble.com/userupload/5640130/file/original-6a34f167a65b2b51f3199c393026b874.png
"abstract logo infinity, logo, symbol, abstract",https://cdn.dribbble.com/userupload/5611965/file/original-9b53c18457455ef2ce5573d11aebfa73.jpg
Playmusic Logo animation,https://cdn.dribbble.com/userupload/4159141/file/still-9a6d089ea1229f445938e80356a2cf19.png
Home yet,https://cdn.dribbble.com/userupload/4090466/file/original-751bd8b0f426f3885d2fcbb8acef4c0e.png
Red octopus 3D Illustration,https://cdn.dribbble.com/userupload/4083060/file/original-f25c9669e6b1da3cc41c6fe3bfee9288.jpg
Georgian Lettermark,https://cdn.dribbble.com/users/4113101/screenshots/20007685/media/ebece62c65620b68a862f4208b0ab439.jpg
Amelia 3D Character Illustration,https://cdn.dribbble.com/userupload/4060638/file/original-b832f6a35b07b99d985f49eeb0389e1a.jpg
3D Baozi,https://cdn.dribbble.com/userupload/4043846/file/original-2142d81c861e95facd0062536038bf3b.png
BIRDS,https://cdn.dribbble.com/users/13612369/screenshots/19940307/media/8ca21635fae3bada7cf9e88ccbc2d22e.png
Sensio Air logo animation,https://cdn.dribbble.com/userupload/4000265/file/still-57e32b4ff7b86d33059b27218ef967e6.png
Loop Animation for TBC insurance,https://cdn.dribbble.com/userupload/3978856/file/still-8828434b8e7767e2942a02f4ad34b36b.png
BOOKS,https://cdn.dribbble.com/userupload/3977547/file/original-5c73ef654fd36e8230bcc05cb57eef95.png
3D Books,https://cdn.dribbble.com/userupload/3963284/file/original-04b917f37928505edf77b394949e27a3.png
John Nolan Studio logo animation,https://cdn.dribbble.com/userupload/3962750/file/still-4643057e40389a947175a48c4a1de74b.gif
Nodelecular,https://cdn.dribbble.com/userupload/3953412/file/still-b1cf42258f195f12a62d493949527364.png
House & Book Logo Mark,https://cdn.dribbble.com/userupload/3947132/file/original-1c130ffc9c0fb307b5f244664dbb0c7b.jpg
3D Technica,https://cdn.dribbble.com/userupload/3946545/file/original-5f114793710ecedb69957b1a1ebef867.png
S Lettermark,https://cdn.dribbble.com/userupload/3936627/file/original-4fdc5d2f881d2a326844a8871bdf812f.jpg
starry night,https://cdn.dribbble.com/users/13612369/screenshots/19802368/media/6b6ffe1c496507d3e9c163fab8ff9e70.png
mailing app,https://cdn.dribbble.com/userupload/3936485/file/original-997f6a32a9bffed6480cae783eb2650a.png
Abstract Element,https://cdn.dribbble.com/userupload/3933183/file/original-7bc73e6de15bbf1817290672072c1c57.png
Fairy,https://cdn.dribbble.com/userupload/3929742/file/original-1cdd95178a34114e3f4a0c962d79fe1c.jpg
Happy Halloween,https://cdn.dribbble.com/users/13612369/screenshots/19787379/media/75d0632d074ca19a1305d3f77abf9e5f.png
Helloween app,https://cdn.dribbble.com/userupload/3922621/file/original-da703cd014c7e0b84d3ec146e6623d8c.png
A basket full of money,https://cdn.dribbble.com/userupload/3922555/file/original-e83ad1a799f1d63a4b7eda6d49e0775a.png
Morning of the Penguins,https://cdn.dribbble.com/users/9496593/screenshots/19778635/media/4f2a397c7f801a17f4458fea39d66cb9.png
